"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"7797","Kolbingen",8327030,"78600"
"7798","Blankenheim",15087070,"06528"
"7799","Berlin",11000000,"12305"
"7800","Penkun",13075107,"17328"
"7801","Wurmsham",9274193,"84189"
"7802","Winringen",7232327,"54614"
"7803","Kaulsdorf",16073038,"07338"
"7804","Stein-Neukirch",7143295,"56479"
"7805","Ruppach-Goldhausen",7143065,"56412"
"7806","Kraftisried",9777144,"87647"
"7807","Jungingen",8417036,"72417"
"7808","Reil",7231110,"56861"
"7809","Quedlinburg",15085235,"06502"
"7810","Brachbach",7132012,"57555"
"7811","Berlin",11000000,"13088"
"7812","Klanxbüll",1054065,"25924"
"7813","Dortmund",5913000,"44143"
"7814","Cramme",3158005,"38312"
"7815","Ellgau",9772136,"86679"
"7816","Moselkern",7135065,"56254"
"7817","Frankenstein",7335010,"67468"
"7818","Ratekau",1055035,"23611"
"7819","Nohfelden",10046114,"66620"
"7820","Unstruttal",16064071,"99974"
"7821","Nieder-Hilbersheim",7339041,"55437"
"7822","Oberau",9180126,"82496"
"7823","Dresden",14612000,"01108"
"7824","Eschbach",8315033,"79427"
"7825","Kammeltal",9774145,"89358"
"7826","Rosenheim",9163000,"83026"
"7827","Münster",5515000,"48149"
"7828","Hüfingen",8326027,"78183"
"7829","Duisburg",5112000,"47057"
"7830","Nonnweiler",10046115,"66620"
"7831","Reutlingen",8415061,"72764"
"7832","Niederwambach",7138050,"57614"
"7833","Bingen",8437008,"72488"
"7834","Oberdachstetten",9571183,"91617"
"7835","Simmershofen",9575163,"97215"
"7836","Kirchenlamitz",9479129,"95158"
"7837","Walsdorf",7233080,"54578"
"7838","Köln",5315000,"51067"
"7839","Donnersdorf",9678124,"97499"
"7840","Sörgenloch",7339054,"55270"
"7841","Kankelau",1053059,"21514"
"7842","Coswig",14627010,"01640"
"7843","Aachen",5334002,"52066"
"7844","Pracht",7132091,"57589"
"7845","Niederneisen",7141095,"65629"
"7846","Grünhainichen",14521270,"09579"
"7847","Frickenhausen a. Main",9679131,"97252"
"7848","Owingen",8435047,"88662"
"7849","Stuttgart",8111000,"70376"
"7850","Mannheim",8222000,"68169"
"7851","Lähden",3454026,"49774"
"7852","Dettum",3158009,"38173"
"7853","Spantekow",13075127,"17392"
"7854","Fresenburg",3454013,"49762"
"7855","Neuendeich",1056037,"25436"
"7856","Ködnitz",9477127,"95361"
"7857","Remscheid",5120000,"42853"
"7858","Bodenmais",9276117,"94249"
"7859","Hagenow",13076060,"19230"
"7860","Thale",15085330,"06502"
"7861","Kittlitz",1053062,"23911"
"7862","Fleckeby",1058052,"24357"
"7863","Altmärkische Höhe",15090007,"39606"
"7864","Tauberrettersheim",9679192,"97285"
"7865","Celle",3351006,"29223"
"7866","Röttenbach",9576141,"91187"
"7867","Mittelhof",7132011,"57537"
"7868","Obergurig",14625390,"02692"
"7869","Buchloe",9777121,"86860"
"7870","Rieste",3459031,"49597"
"7871","Söllingen",3154027,"38387"
"7872","Niedersohren",7140107,"55487"
"7873","Fensdorf",7132030,"57580"
"7874","Oderaue",12064371,"16259"
"7875","Kaltensundheim",16066035,"98634"
"7876","Oberweser",6633021,"34399"
"7877","Bielefeld",5711000,"33602"
"7878","Saulgrub",9180129,"82442"
"7879","Essingen",7337023,"76879"
"7880","Küstriner Vorland",12064266,"15328"
"7881","Arnstein",15087031,"06333"
"7882","Feldafing",9188118,"82340"
"7883","Blekendorf",1057007,"24327"
"7884","Dischingen",8135010,"73450"
"7885","Wriezen",12064512,"16269"
"7886","Kleinlangenfeld",7232250,"54597"
"7887","Wesselburenerkoog",1051129,"25764"
"7888","Schweigen-Rechtenbach",7337071,"76889"
"7889","München",9162000,"80801"
"7890","Gevensleben",3154006,"38384"
"7891","Gemmingen",8125034,"74193"
"7892","Bremberg",7141018,"56370"
"7893","Buckow (Märkische Schweiz)",12064084,"15377"
"7894","Potsdam",12054000,"14467"
"7895","Selsingen",3357043,"27446"
"7896","Rothenburg/O.L.",14626480,"02929"
"7897","Gingen an der Fils",8117025,"73333"
"7898","Köln",5315000,"50968"
"7899","Imsweiler",7333034,"67808"
"7900","Obersöchering",9190136,"82395"
"7901","Horka",14626200,"02923"
"7902","Sankt Johann",7339050,"55578"
"7903","Langenpreising",9177126,"85368"
"7904","Hintersee",13075051,"17375"
"7905","Köln",5315000,"51103"
"7906","Hoffeld",1058076,"24582"
"7907","Ludwigshöhe",7339035,"55278"
"7908","Wasserlosen",9678192,"97535"
"7909","Bad Lausick",14729010,"04680"
"7910","Aufseß",9472115,"91347"
"7911","Dingen",1051022,"25715"
"7912","Köln",5315000,"50679"
"7913","Börm",1059009,"24863"
"7914","Pessin",12063240,"14641"
"7915","Oberbachheim",7141100,"56355"
"7916","Süderau",1061104,"25361"
"7917","Carlsberg",7332007,"67316"
"7918","Zittau",14626610,"02788"
"7919","Enge-Sande",1054167,"25917"
"7920","Oberhausen",5119000,"46049"
"7921","Sachsenhagen",3257033,"31553"
"7922","Hettenleidelheim",7332027,"67310"
"7923","Huy",15085185,"38836"
"7924","Langenbach",9178138,"85416"
"7925","Haundorf",9577138,"91729"
"7926","Buch",9775118,"89290"
"7927","Winkelsett",3458015,"27243"
"7928","Mühlenfließ",12069402,"14822"
"7929","Göttingen",3159016,"37073"
"7930","Valley",9182133,"83626"
"7931","Westhausen",16069056,"98663"
"7932","Collenberg",9676117,"97903"
"7933","Eime",3254013,"31036"
"7934","Fintel",3357015,"27389"
"7935","Südermarsch",1054132,"25813"
"7936","Hörselberg-Hainich",16063098,"99820"
"7937","Hohenaltheim",9779162,"86745"
"7938","Badbergen",3459007,"49635"
"7939","Halsenbach",7140045,"56283"
"7940","Schwarzenborn",6634023,"34639"
"7941","Gmund a. Tegernsee",9182116,"83703"
"7942","Berlin",11000000,"12207"
"7943","Markersdorf",14626300,"02829"
"7944","Bubenheim",7333012,"67308"
"7945","Bornstedt",15087075,"06295"
"7946","Beesten",3454003,"49832"
"7947","Kiel",1002000,"24118"
"7948","Struxdorf",1059082,"24891"
"7949","Weiltingen",9571218,"91744"
"7950","Seybothenreuth",9472188,"95517"
"7951","Köngernheim",7339033,"55278"
"7952","Bisingen",8417008,"72461"
"7953","Hellingen",16069019,"98663"
"7954","Diera-Zehren",14627020,"01665"
"7955","Boizenburg/Elbe",13076014,"19258"
"7956","Tarp",1059171,"24963"
"7957","Norderney",3452020,"26548"
"7958","Fürstenberg/Havel",12065084,"16798"
"7959","Niederfüllbach",9473153,"96489"
"7960","Moosach",9175128,"85665"
"7961","Siedenbollentin",13071135,"17089"
"7962","Berkholz-Meyenburg",12073032,"16306"
"7963","Holzgünz",9778151,"87752"
"7964","Merdingen",8315072,"79291"
"7965","Haselbachtal",14625220,"01920"
"7966","Zarrentin am Schaalsee",13076159,"19246"
"7967","Ginsheim-Gustavsburg",6433005,"65462"
"7968","Bodenbach",7233205,"53539"
"7969","Stöttwang",9777172,"87677"
"7970","Berlin",11000000,"13593"
"7971","Felm",1058051,"24244"
"7972","Nürnberg",9564000,"90439"
"7973","Sachsenbrunn",16069039,"98678"
"7974","Steinbach a. Wald",9476175,"96361"
"7975","Thiendorf",14627290,"01561"
"7976","Retschow",13072086,"18211"
"7977","Mudenbach",7143267,"57614"
"7978","Franzburg",13073024,"18461"
"7979","Klietz",15090310,"39524"
"7980","Jameln",3354011,"29479"
"7981","Bramstedtlund",1054018,"25926"
"7982","Hainichen",14522230,"09661"
"7983","Sankt Katharinen (Landkreis Neuwied)",7138068,"53562"
"7984","Aschheim",9184112,"85609"
"7985","Wenzlow",12069648,"14778"
"7986","Quarnbek",1058130,"24107"
"7987","Lauter",9471152,"96169"
"7988","Groß Offenseth-Aspern",1056017,"25355"
"7989","Ungerhausen",9778205,"87781"
"7990","Groß Wittensee",1058066,"24361"
"7991","Essen",5113000,"45147"
"7992","Wiesmoor",3452025,"26446"
"7993","Humptrup",1054055,"25923"
"7994","Weesby",1059177,"24994"
"7995","Mauth",9272134,"94151"
"7996","Heimborn",7143236,"57629"
"7997","Borstel-Hohenraden",1056009,"25494"
"7998","Hohen Demzin",13072045,"17166"
"7999","Hatzenbühl",7334009,"76770"
"8000","Diemelstadt",6635008,"34474"
"8001","Wildberg",13071160,"17091"
"8002","Heilbronn",8121000,"74211"
"8003","Schlaitdorf",8116063,"72667"
"8004","Effeltrich",9474122,"91090"
"8005","Nordhorn",3456015,"48531"
"8006","Marktbergel",9575143,"91613"
"8007","Neuheilenbach",7232273,"54597"
"8008","Falkenstein/Harz",15085110,"06456"
"8009","Wattenbek",1058170,"24582"
"8010","Offenau",8125079,"74254"
"8011","Tann (Rhön)",6631023,"36142"
"8012","Segnitz",9675166,"97340"
"8013","Kürnach",9679156,"97273"
"8014","Borod",7143212,"57614"
"8015","Nürnberg",9564000,"90461"
"8016","Potsdam",12054000,"14473"
"8017","Berglicht",7231006,"54426"
"8018","Binau",8225010,"74862"
"8019","Grebenstein",6633010,"34393"
"8020","Marktoffingen",9779177,"86748"
"8021","Meckesheim",8226049,"74909"
"8022","Weilbach",9676165,"63937"
"8023","Duisburg",5112000,"47443"
"8024","Utersum",1054143,"25938"
"8025","Biberbach",9772121,"86485"
"8026","Halle (Saale)",15002000,"06198"
"8027","Jöhstadt",14521330,"09477"
"8028","Hergatz",9776131,"88145"
"8029","Riegsee",9180128,"82418"
"8030","Warmsroth",7133110,"55442"
"8031","Beidenfleth",1061007,"25573"
"8032","Stockach",8335079,"78351"
"8033","Langenmosen",9185143,"86571"
"8034","Hamm",5915000,"59073"
"8035","Leverkusen",5316000,"51373"
"8036","Despetal",3254010,"31035"
"8037","Apelern",3257002,"31552"
"8038","Sülstorf",13076134,"19077"
"8039","Kottenheim",7137055,"56736"
"8040","Massen-Niederlausitz",12062333,"03238"
"8041","Cölpin",13071026,"17094"
"8042","Muldenhammer",14523245,"08262"
"8043","Heilberscheid",7143026,"56412"
"8044","Vogtareuth",9187181,"83569"
"8045","Berlin",11000000,"13465"
"8046","Gehofen",16065019,"06571"
"8047","Pforzheim",8231000,"75179"
"8048","Raisting",9190144,"82399"
"8049","Amt Neuhaus",3355049,"19273"
"8050","Emmelsbüll-Horsbüll",1054166,"25924"
"8051","Stebach",7138069,"56276"
"8052","Adelshofen",9179111,"82276"
"8053","Harztor",16062065,"99768"
"8054","Schwanstetten",9576132,"90596"
"8055","Weyerbusch",7132115,"57635"
"8056","Gößnitz",16077012,"04639"
"8057","Querfurt",15088305,"06556"
"8058","Kempten (Allgäu)",9763000,"87490"
"8059","Essenheim",7339017,"55268"
"8060","Gröden",12062196,"04932"
"8061","Kinding",9176137,"85125"
"8062","Irmtraut",7143246,"56479"
"8063","Bolanden",7333010,"67814"
"8064","Veelböken",13074081,"19205"
"8065","Ebersbach-Neugersdorf",14626085,"02730"
"8066","Bielefeld",5711000,"33609"
"8067","Bad Colberg-Heldburg",16069002,"98663"
"8068","Ammeldingen an der Our",7232004,"54675"
"8069","Halbe",12061216,"15757"
"8070","Dahlen",14730060,"04774"
"8071","Winklarn",9376178,"92559"
"8072","Bad Salzschlirf",6631001,"36364"
"8073","Gunningen",8327020,"78594"
"8074","Bad Kreuznach",7133006,"55583"
"8075","Wegeleben",15085365,"38828"
"8076","Sonnenberg-Winnenberg",7134085,"55767"
"8077","Stüdenitz-Schönermark",12068417,"16845"
"8078","Goldberg",13076048,"19399"
"8079","Planetal",12069474,"14806"
"8080","Roßleben",16065061,"06556"
"8081","Kriegsfeld",7333040,"67819"
"8082","Hohen Neuendorf",12065144,"16562"
"8083","Frankfurt am Main",6412000,"60439"
"8084","Hamburg",2000000,"22049"
"8085","Zwickau",14524330,"08066"
"8086","Klixbüll",1054068,"25899"
"8087","Seestermühe",1056045,"25371"
"8088","Heiligenstadt i. OFr.",9471142,"91332"
"8089","Hohndorf",14521290,"09394"
"8090","Stadelhofen",9471189,"96187"
"8091","Marktsteft",9675149,"97342"
"8092","Uelvesbüll",1054141,"25889"
"8093","München",9162000,"80797"
"8094","Neukirchen/Erzgeb.",14521410,"09221"
"8095","Pollenfeld",9176155,"85131"
"8096","Gräfenhainichen",15091110,"06772"
"8097","Zeitz",15084590,"06711"
"8098","Wendtorf",1057087,"24235"
"8099","Bremen",4011000,"28201"
"8100","Hemleben",16065034,"06577"
"8101","Kletzin",13071076,"17111"
"8102","Welt",1054148,"25836"
"8103","Lüchow (Wendland)",3354018,"29439"
"8104","Stuttgart",8111000,"70191"
"8105","Ellerbek",1056013,"25474"
"8106","Wiesbaden",6414000,"55246"
"8107","Meinheim",9577150,"91802"
"8108","Marktleuthen",9479135,"95168"
"8109","Vachendorf",9189161,"83377"
"8110","Bawinkel",3454002,"49844"
"8111","Bielefeld",5711000,"33604"
"8112","Bahrdorf",3154001,"38368"
"8113","Bremen",4011000,"28237"
"8114","Güllesheim",7132043,"56593"
"8115","Kollow",1053071,"21527"
"8116","Senftenberg",12066304,"01945"
"8117","Stödtlen",8136068,"73495"
"8118","Bell",7137008,"56745"
"8119","Haynrode",16061044,"37345"
"8120","Lamerdingen",9777145,"86862"
"8121","Belm",3459008,"49191"
"8122","Kevelaer",5154032,"47625"
"8123","Neuhardenberg",12064340,"15320"
"8124","Stoltebüll",1059168,"24409"
"8125","Pommern",7135072,"56829"
"8126","Martinsheim",9675150,"97340"
"8127","Friedrichsholm",1058056,"24799"
"8128","Bad Wünnenberg",5774040,"59929"
"8129","Ludwigswinkel",7340029,"66996"
"8130","Bestensee",12061020,"15711"
"8131","Söhrewald",6633024,"37235"
"8132","Walchum",3454056,"26907"
"8133","Grömitz",1055016,"23743"
"8134","Heidenau",3353018,"21258"
"8135","Zella-Mehlis",16066092,"98544"
"8136","Groß Twülpstedt",3154009,"38464"
"8137","Mertendorf",15084335,"06618"
"8138","Meyn",1059144,"24980"
"8139","Nürnberg",9564000,"90425"
"8140","Buch",7140021,"56288"
"8141","Fuchstal",9181121,"86925"
"8142","Bruck i.d. OPf.",9376117,"92436"
"8143","Malente",1055028,"23714"
"8144","Juliusburg",1053058,"21483"
"8145","Geschwenda",16070021,"98716"
"8146","Bad Marienberg (Westerwald)",7143206,"56470"
"8147","Meinersen",3151017,"38536"
"8148","Nenndorf",3462009,"26556"
"8149","Windhagen",7138077,"53578"
"8150","Höhfröschen",7340024,"66989"
"8151","Lunden",1051071,"25774"
"8152","Oberschönegg",9778184,"87770"
"8153","Kirchehrenbach",9474143,"91356"
"8154","Atzelgift",7143205,"57629"
"8155","Igel",7235051,"54298"
"8156","Torgau",14730310,"04861"
"8157","Gommern",15086055,"39291"
"8158","Wusterwitz",12069688,"14789"
"8159","Schönau (Pfalz)",7340045,"66996"
"8160","Blumberg",8326005,"78176"
"8161","Sargenroth",7140134,"55471"
"8162","Kronsgaard",1059136,"24395"
"8163","Bütthard",9679122,"97244"
"8164","Baden-Baden",8211000,"76530"
"8165","Wanderup",1059174,"24997"
"8166","Sevenig (Our)",7232310,"54617"
"8167","Waldhufen",14626580,"02906"
"8168","Bubsheim",8327007,"78585"
"8169","Eiselfing",9187126,"83549"
"8170","Mannheim",8222000,"68219"
"8171","Ahrenviölfeld",1054004,"25885"
"8172","Raubach",7138059,"56316"
"8173","Kirchdorf a. Inn",9277128,"84359"
"8174","Birgel",7233007,"54587"
"8175","Altwigshagen",13075004,"17379"
"8176","Menslage",3459025,"49637"
"8177","Rauschenberg",6534017,"35282"
"8178","Ottenstein",3255031,"31868"
"8179","Obergröningen",8136049,"73569"
"8180","Dresden",14612000,"01237"
"8181","Berndroth",7141011,"56370"
"8182","Tengen",8335080,"78250"
"8183","Michelbach an der Bilz",8127056,"74523"
"8184","Geiselwind",9675127,"96160"
"8185","Erbenhausen",16066019,"98634"
"8186","Ronsberg",9777165,"87671"
"8187","Nohra",16062039,"99735"
"8188","Neuötting",9171125,"84543"
"8189","Knetzgau",9674163,"97478"
"8190","Mannheim",8222000,"68159"
"8191","Kirchanschöring",9189127,"83417"
"8192","Merzhausen",8315073,"79249"
"8193","Kreien",13076075,"19386"
"8194","Niederelbert",7143053,"56412"
"8195","Steindorf",9771168,"82297"
"8196","Heimenkirch",9776114,"88178"
"8197","Gera",16052000,"07552"
"8198","Lauterbach",16063049,"99826"
"8199","Wiesbaden",6414000,"65183"
"8200","Grauel",1058062,"24594"
"8201","Döbritz",16075016,"07381"
"8202","Dargun",13071027,"17159"
"8203","Oberirsen",7132082,"57635"
"8204","Weigenheim",9575179,"97215"
"8205","Widdern",8125103,"74259"
"8206","Ballendorf",8425013,"89177"
"8207","Belgern-Schildau",14730045,"04874"
"8208","Oberstaufenbach",7336071,"66879"
"8209","Colmberg",9571130,"91598"
"8210","Eichstegen",8436027,"88361"
"8211","Moordiek",1061068,"25597"
"8212","Wiesbaden",6414000,"65197"
"8213","Anzing",9175111,"85646"
"8214","Niedernwöhren",3257025,"31712"
"8215","Ducherow",13075029,"17398"
"8216","Polsingen",9577162,"91805"
"8217","Päwesin",12069460,"14778"
"8218","Hohenbrunn",9184129,"85640"
"8219","Riesbürg",8136087,"73469"
"8220","Lörrach",8336050,"79539"
"8221","Echternacherbrück",7232028,"54668"
"8222","Freilingen",7143018,"56244"
"8223","Mainhausen",6438007,"63533"
"8224","Weißenohe",9474173,"91367"
"8225","Gutow",13072044,"18276"
"8226","Satow",13072093,"18239"
"8227","Biendorf",13072014,"18233"
"8228","Leonberg",9377137,"95666"
"8229","Eisfeld",16069012,"98673"
"8230","Bilshausen",3159005,"37434"
"8231","Oberarnbach",7335031,"66851"
"8232","Nußdorf a. Inn",9187156,"83131"
"8233","Annaburg",15091010,"06905"
"8234","Tharandt",14628400,"01737"
"8235","Hohen Wangelin",13071063,"17194"
"8236","Sessenbach",7143068,"56237"
"8237","Jonsdorf",14626210,"02796"
"8238","Bad Zwesten",6634027,"34596"
"8239","Remda-Teichel",16073105,"07407"
"8240","Netzschkau",14523260,"08491"
"8241","Vöhringen",9775162,"89269"
"8242","Nürnberg",9564000,"90453"
"8243","Netphen",5970032,"57076"
"8244","Altenhof",13071003,"17209"
"8245","Prutting",9187163,"83134"
"8246","Saarbrücken",10041100,"66125"
"8247","Nidda",6440016,"63691"
"8248","Böklund",1059008,"24860"
"8249","Schlichting",1051102,"25779"
"8250","Nienstädt",3257026,"31688"
"8251","Mühlenbecker Land",12065225,"16515"
"8252","Köln",5315000,"50733"
"8253","Crottendorf",14521130,"09474"
"8254","Mündersbach",7143268,"56271"
"8255","Dalldorf",1053022,"21483"
"8256","Lissendorf",7233041,"54587"
"8257","Völpke",15083515,"39393"
"8258","München",9162000,"81737"
"8259","Holzminden",3255023,"37603"
"8260","Biberach an der Riß",8426021,"88447"
"8261","Wollershausen",3159038,"37434"
"8262","Emmerting",9171114,"84547"
"8263","Heideland",12062219,"03238"
"8264","Saalstadt",7340041,"66919"
"8265","Windelsbach",9571225,"91635"
"8266","Hittbergen",3355018,"21522"
"8267","Ottenhöfen im Schwarzwald",8317102,"77883"
"8268","Kleinrinderfeld",9679155,"97271"
"8269","Hörnum (Sylt)",1054046,"25997"
"8270","Oberzissen",7131060,"56651"
"8271","St. Egidien",14524280,"09356"
"8272","Sugenheim",9575165,"91484"
"8273","Berlin",11000000,"13467"
"8274","Hilzingen",8335035,"78224"
"8275","Trassenheide",13075133,"17449"
"8276","Calvörde",15083125,"39359"
"8277","Braunshorn",7140018,"56288"
"8278","München",9162000,"80634"
"8279","Meerbeck",3257023,"31715"
"8280","Offenhausen",9574145,"91238"
"8281","Gremsdorf",9572126,"91350"
"8282","Buxheim",9778123,"87740"
"8283","Trulben",7340052,"66957"
"8284","Bergtheim",9679117,"97241"
"8285","Krummennaab",9377132,"92703"
"8286","Nassenfels",9176149,"85128"
"8287","Mackenbach",7335024,"67686"
"8288","Essen",5113000,"45219"
"8289","Falkenstein/Harz",15085110,"06463"
"8290","Goldbach",9671121,"63773"
"8291","Duisburg",5112000,"47226"
"8292","Rosenbach/Vogtl.",14523365,"08548"
"8293","Ellscheid",7233021,"54552"
"8294","Handorf",3355017,"21447"
"8295","Erxleben",15083205,"39343"
"8296","Oppenau",8317098,"77728"
"8297","Kößlarn",9275131,"94149"
"8298","Hausen",9676128,"63840"
"8299","München",9162000,"81925"
"8300","Krummendeich",3359030,"21732"
"8301","Zschopau",14521690,"09405"
"8302","Böchingen",7337012,"76833"
"8303","Glauburg",6440010,"63695"
"8304","Plüschow",13074063,"23936"
"8305","Schönbrunn",8226081,"69436"
"8306","Freiburg im Breisgau",8311000,"79115"
"8307","Dessau-Roßlau",15001000,"06844"
"8308","Friedrichsgabekoog",1051033,"25764"
"8309","München",9162000,"81679"
"8310","Gelbensande",13072032,"18182"
"8311","Stuttgart",8111000,"70199"
"8312","Schwedelbach",7335043,"67685"
"8313","Lage",3456013,"49828"
"8314","Reinsdorf",14524250,"08112"
"8315","Elskop",1061026,"25361"
"8316","Heideland",16074039,"07613"
"8317","Berka v.d. Hainich",16063006,"99826"
"8318","Kuhs",13072061,"18276"
"8319","Neubörger",3454037,"26909"
"8320","Oberschwarzach",9678164,"97516"
"8321","Blomesche Wildnis",1061012,"25348"
"8322","Krempdorf",1061054,"25376"
"8323","Herzberg am Harz",3159019,"37412"
"8324","Dotternhausen",8417016,"72359"
"8325","Chemnitz",14511000,"09119"
"8326","Peine",3157006,"31246"
"8327","Münchweiler an der Alsenz",7333048,"67728"
"8328","Borgwedel",1059012,"24857"
"8329","Weißensberg",9776130,"88138"
"8330","Seifhennersdorf",14626530,"02782"
"8331","Labenz",1053079,"23898"
"8332","Illerrieden",8425066,"89186"
"8333","Ventschow",13074082,"19417"
"8334","Frankenblick",16072023,"96528"
"8335","Stemshorn",3251036,"49448"
"8336","Chemnitz",14511000,"09112"
"8337","Trassem",7235136,"54441"
"8338","Luxem",7137066,"56729"
"8339","Lünebach",7232262,"54597"
"8340","Kalkar",5154024,"47589"
"8341","Darscheid",7233014,"54552"
"8342","Roßtal",9573125,"90574"
"8343","Buch",7141019,"56357"
"8344","Rettersen",7132094,"57635"
"8345","Limburg a.d. Lahn",6533009,"65554"
"8346","Sayda",14522520,"09619"
"8347","Poppenbüll",1054104,"25836"
"8348","Mannheim",8222000,"68307"
"8349","Altenkrempe",1055002,"23730"
"8350","Steinborn",7232313,"54655"
"8351","Ockholm",1054093,"25842"
"8352","Wildenberg",9273181,"93359"
"8353","Hamburg",2000000,"22529"
"8354","Kradenbach",7233040,"54552"
"8355","Thermalbad Wiesenbad",14521630,"09488"
"8356","Meggerdorf",1059058,"24799"
"8357","Geiersthal",9276122,"94244"
"8358","Jardelund",1059129,"24994"
"8359","Harbarnsen",3254019,"31097"
"8360","Unlingen",8426121,"88527"
"8361","Rohrberg",15081440,"38489"
"8362","Lanitz-Hassel-Tal",15084282,"06628"
"8363","Ilshofen",8127043,"74592"
"8364","Stöckse",3256031,"31638"
"8365","Broderstorf",13072019,"18184"
"8366","Guteborn",12066120,"01945"
"8367","Denkendorf",8116015,"73770"
"8368","Kirchendemenreuth",9374128,"92711"
"8369","Berlin",11000000,"13156"
"8370","Rodewald",3256026,"31637"
"8371","Rödersheim-Gronau",7338022,"67127"
"8372","Gerolfingen",9571154,"91726"
"8373","Sehlde",3158028,"38279"
"8374","Seinsheim",9675167,"97342"
"8375","Hutthurm",9275128,"94154"
"8376","Hildesheim",3254021,"31134"
"8377","Hübingen",7143036,"56412"
"8378","Hochborn",7331011,"55234"
"8379","Deidesheim",7332009,"67157"
"8380","Marquartstein",9189129,"83250"
"8381","Ausacker",1059103,"24975"
"8382","Lockstedt",1061064,"25551"
"8383","Schmidmühlen",9371148,"92287"
"8384","Willanzheim",9675179,"97348"
"8385","Hamburg",2000000,"22415"
"8386","Heimertingen",9778150,"87751"
"8387","Außernzell",9271114,"94532"
"8388","Kümmernitztal",12070222,"16945"
"8389","Vrees",3454055,"49757"
"8390","Fuldabrück",6633008,"34253"
"8391","Brünn/Thür.",16069006,"98673"
"8392","Kühndorf",16066038,"98547"
"8393","Bondorf",8115004,"72108"
"8394","Bausendorf",7231004,"54538"
"8395","Dänischenhagen",1058037,"24229"
"8396","Bertsdorf-Hörnitz",14626050,"02763"
"8397","Elgersburg",16070011,"98693"
"8398","Wallerfing",9271152,"94574"
"8399","Gillenbeuren",7135035,"56825"
"8400","Sparneck",9475174,"95234"
"8401","Kastl",9377128,"95478"
"8402","Weingarten (Pfalz)",7334032,"67366"
"8403","Frickenhausen a. Main",9679131,"97199"
"8404","Oettingen i. Bay.",9779197,"86732"
"8405","Schladt",7231114,"54534"
"8406","Lechbruck am See",9777147,"86983"
"8407","Homberg",7143244,"56479"
"8408","Düsseldorf",5111000,"40545"
"8409","Seddiner See",12069596,"14554"
"8410","Offenbach-Hundheim",7336075,"67749"
"8411","Neunkirchen",7143271,"56479"
"8412","Germaringen",9777130,"87656"
"8413","Solnhofen",9577168,"91807"
"8414","Dammbach",9671160,"63874"
"8415","Hüffler",7336047,"66909"
"8416","Arberg",9571113,"91722"
"8417","Dohma",14628070,"01796"
"8418","Baar (Schwaben)",9771176,"86674"
"8419","Nürnberg",9564000,"90449"
"8420","Mohlsdorf-Teichwolframsdorf",16076093,"07987"
"8421","Schöneberg",12073505,"16278"
"8422","Bremen",4011000,"28211"
"8423","Leidersbach",9676136,"63849"
"8424","Kleve",1051060,"25779"
"8425","Langenorla",16075054,"07381"
"8426","Tiste",3357048,"27419"
"8427","Frankenwinheim",9678130,"97447"
"8428","Unzenberg",7140154,"55483"
"8429","Felde",1058050,"24242"
"8430","Holzheim",9773140,"89438"
"8431","Alt Duvenstedt",1058003,"24791"
"8432","Langendorf",3354014,"29484"
"8433","Hollern-Twielenfleth",3359026,"21723"
"8434","Brüheim",16067005,"99869"
"8435","Gehrde",3459018,"49596"
"8436","Oberlungwitz",14524230,"09353"
"8437","Bondelum",1054013,"25850"
"8438","Jugenheim in Rheinhessen",7339031,"55270"
"8439","Kirchham",9275130,"94148"
"8440","Reckershausen",7140122,"55481"
"8441","Scharnebeck",3355033,"21379"
"8442","Frankfurt am Main",6412000,"60386"
"8443","Oberlascheid",7232283,"54608"
"8444","Nistertal",7143279,"57647"
"8445","Langerringen",9772170,"86853"
"8446","Sudwalde",3251038,"27257"
"8447","Burgdorf",3158004,"38272"
"8448","Rain",9779201,"86641"
"8449","Wierschem",7137114,"56294"
"8450","Geldersheim",9678132,"97505"
"8451","Scheuring",9181138,"86937"
"8452","Brachtendorf",7135011,"56761"
"8453","München",9162000,"81927"
"8454","Pechbrunn",9377145,"95701"
"8455","Vorbach",9374163,"95519"
"8456","Saarbrücken",10041100,"66132"
"8457","Birkenhügel",16075002,"07366"
"8458","Bokelrehm",1061013,"25596"
"8459","Neufahrn b. Freising",9178145,"85376"
"8460","Klütz",13074039,"23948"
"8461","Velden",9574160,"91235"
"8462","Mittelstrimmig",7135061,"56858"
"8463","Südheide",3351026,"29320"
"8464","Ködderitzsch",16071044,"99518"
"8465","Lankau",1053081,"23881"
"8466","Dornholzhausen",7141033,"56357"
"8467","Freiburg im Breisgau",8311000,"79117"
"8468","Börnichen/Erzgeb.",14521090,"09437"
"8469","Nothweiler",7340034,"76891"
"8470","Fensterbach",9376125,"92521"
"8471","Blankenburg (Harz)",15085055,"06502"
"8472","Hambergen",3356003,"27729"
"8473","Schwaikheim",8119068,"71409"
"8474","Lauchringen",8337065,"79790"
"8475","Fulda",6631009,"36037"
"8476","Köln",5315000,"50997"
"8477","Neckartailfingen",8116041,"72631"
"8478","Lüdersdorf",13074049,"23923"
"8479","Barver",3251006,"49419"
"8480","Nittel",7235095,"54453"
"8481","Langenzenn",9573120,"91469"
"8482","Baierbach",9274118,"84181"
"8483","Kludenbach",7140071,"55481"
"8484","Trautskirchen",9575166,"90619"
"8485","Gilzem",7232225,"54298"
"8486","Dichtelbach",7140027,"55494"
